feature	coef	Family_Name
M1696_1.02_REV_5	-17.2357873157711	WRKY
M1309_1.02_REV_5	12.4286247333416	Myb/SANT
M1336_1.02_FWD_5	11.8583531049569	Myb/SANT
M1309_1.02_FWD_5	9.71487535808729	Myb/SANT
M0768_1.02_FWD_3	-7.17621959682533	GATA
M0854_1.02_FWD_3	-6.72218768351126	Homeodomain
M1400_1.02_REV_3	-6.65804131992493	NAC/NAM
M0768_1.02_REV_1	-6.62640145107629	GATA
M01191_HDG7_01_FWD_5	6.58578957262834	Homeobox
M1696_1.02_REV_3	-6.38631486541733	WRKY
M00392_AGL3_01_REV_7	6.21132985883896	MADS-box
M00392_AGL3_01_REV_7	6.21132985883896	MADS
M2342_1.02_FWD_3	6.19304976425128	Unknown
M1344_1.02_FWD_4	6.16363005008807	Myb/SANT
M1696_1.02_FWD_1	-6.10767522739927	WRKY
M1689_1.02_REV_3	-5.91360960053483	WRKY
M1663_1.02_REV_4	-5.63904800421791	TCP
M0013_1.02_REV_3	-5.62947125391739	AP2
M0590_1.02_FWD_6	5.62465042850145	CxC
M1336_1.02_REV_3	5.42272446420673	Myb/SANT
M1941_1.02_FWD_4	-5.26933666118628	Myb/SANT
M01194_PDF2_01_REV_4	5.25577789503916	Homeobox
M1649_1.02_REV_4	5.10206947395576	TCP
M1338_1.02_FWD_1	-4.96489865845998	Myb/SANT
M1309_1.02_REV_1	4.88526344286757	Myb/SANT
M1317_1.02_FWD_3	4.85022492647103	Myb/SANT
M0854_1.02_REV_1	-4.78891405847657	Homeodomain
M0840_1.02_REV_5	4.75380830307829	Homeodomain
M1336_1.02_FWD_4	4.73469366884469	Myb/SANT
M0850_1.02_FWD_2	4.71365361414971	Homeodomain
M1689_1.02_REV_4	-4.60737764520503	WRKY
M2370_1.02_FWD_1	4.56612504959802	SBP
M0011_1.02_REV_7	4.55041566466863	AP2
M0263_1.02_FWD_4	-4.43885170085303	bZIP
M01189_CBNAC_02_REV_4	-4.40684929394934	NAC
M2343_1.02_REV_3	4.27631895130435	Unknown
M0653_1.02_FWD_7	4.24079393824623	Dof
M0841_1.02_FWD_2	-4.20721691090243	Homeodomain
M0771_1.02_REV_7	-4.1322021026807	GATA
M01188_CBNAC_01_FWD_4	4.1186392331688	NAC
M0840_1.02_FWD_1	-4.10181136757352	Homeodomain
M1321_1.02_REV_1	-4.09073730114488	Myb/SANT
M0582_1.02_REV_4	4.04232656746405	CG-1
M0119_1.02_REV_4	-4.01215217125149	AT hook
M0261_1.02_REV_1	-3.97914581252187	bZIP
M01114_E2F_Q2_REV_1	3.84096186585072	E2F-DP
M01114_E2F_Q2_REV_1	3.84096186585072	Core Cell Cycle Genes
M1691_1.02_FWD_6	-3.81333574761968	WRKY
M0681_1.02_FWD_3	-3.77448366558207	EIN3
M0266_1.02_FWD_5	-3.72757771837604	bZIP
M0844_1.02_FWD_4	-3.72102850562324	Homeodomain
M1688_1.02_FWD_5	-3.67570288751723	WRKY
M00635_GT1_Q6_FWD_5	-3.6495309197256	Trihelix
M0034_1.02_REV_7	3.60651237981631	AP2
M0015_1.02_FWD_2	3.58881118344104	AP2
M1647_1.02_REV_3	3.58446805332329	TCP
M0029_1.02_FWD_5	3.57129297115849	AP2
M2349_1.02_REV_1	3.54278045513924	MADS box
M1336_1.02_REV_2	3.5347474370136	Myb/SANT
M2341_1.02_FWD_1	3.50335059605084	MADS box
M0373_1.02_REV_4	3.43975351625273	C2H2 ZF
M1401_1.02_FWD_7	-3.42832466182639	NAC/NAM
M1410_1.02_REV_5	-3.40295967488669	NAC/NAM
M01114_E2F_Q2_FWD_1	3.38978656962557	E2F-DP
M01114_E2F_Q2_FWD_1	3.38978656962557	Core Cell Cycle Genes
M00404_MADSB_Q2_REV_6	-3.36546842309748	MADS-box
M00404_MADSB_Q2_REV_6	-3.36546842309748	MADS
M1567_1.02_FWD_4	3.36334838976823	SBP
M00404_MADSB_Q2_FWD_5	-3.3548285430078	MADS-box
M00404_MADSB_Q2_FWD_5	-3.3548285430078	MADS
M0015_1.02_FWD_3	3.34380139446689	AP2
M0761_1.02_REV_2	-3.29259390290679	GATA
M1689_1.02_REV_6	-3.28793637431632	WRKY
M1576_1.02_REV_1	3.28393447303164	Sox
M0021_1.02_FWD_6	-3.271057982536	AP2
M0843_1.02_FWD_5	-3.25908562788146	Homeodomain
M1344_1.02_REV_3	3.24352982141806	Myb/SANT
M0013_1.02_REV_5	3.23947535480967	AP2
M1563_1.02_REV_6	3.22629498464438	SBP
M0761_1.02_FWD_3	-3.22119505649601	GATA
M1691_1.02_FWD_3	-3.2111024794327	WRKY
M1303_1.02_REV_4	3.15460936496619	Myb/SANT
M1416_1.02_FWD_1	-3.13644393624583	NAC/NAM
M0015_1.02_FWD_1	3.11220873824795	AP2
M0370_1.02_FWD_6	3.10135615927715	C2H2 ZF
M0142_1.02_REV_7	3.05972013843455	AT hook
M0848_1.02_REV_4	3.02312864624279	Homeodomain
M0769_1.02_FWD_4	2.99309893403944	GATA
M1683_1.02_REV_1	-2.98965490051231	WRKY
M0271_1.02_FWD_5	-2.97375130869701	bZIP
M00393_AGL3_02_FWD_1	-2.92112139300234	MADS-box
M00393_AGL3_02_FWD_1	-2.92112139300234	MADS
M1404_1.02_FWD_2	-2.91527415439362	NAC/NAM
M0021_1.02_FWD_2	-2.91347668269092	AP2
M01050_ARR10_01_FWD_7	-2.90121488812306	ARR-B
M01050_ARR10_01_FWD_7	-2.90121488812306	Response Regulator
M0847_1.02_FWD_7	2.88723035788266	Homeodomain
M01156_BZR1_01_REV_2	-2.86944835899011	BZR
M0010_1.02_FWD_5	-2.8646065163653	AP2
M1690_1.02_FWD_6	2.85209856227765	WRKY
M0078_1.02_REV_5	2.84752664242353	B3
M0078_1.02_REV_5	2.84752664242353	AP2,B3
M1274_1.02_REV_7	2.83902459246209	LOB
M0591_1.02_REV_2	-2.83505213961657	CxC
M0145_1.02_FWD_4	2.81516022211126	AT hook
M0010_1.02_REV_2	-2.80023549989596	AP2
M0119_1.02_FWD_2	-2.79479500517511	AT hook
