Chromosome,Strand,Start,End,ReadCount,ModeLocation,ModeReadCount,Shape,TranscriptLocation,TranscriptID,GeneName,GeneType,X..Capped,tissue
chr1,-,27952741,27952753,12.4838421963109,27952747,6.24192109815547,None,tss,ENSG00000000938,ENSG00000000938,gene,100,GM12878
chr1,+,196621156,196621192,24.051104565957,196621174,12.0255522829785,None,tss,ENSG00000000971,ENSG00000000971,gene,100,K562
chr6,+,46097776,46097804,5.74177377118086,46097790,2.87088688559043,None,tss,ENSG00000001561,ENSG00000001561,gene,100,GM12878
chr3,+,50192499,50192534,2.9563818323486,50192516.5,1.4781909161743,None,tss,ENSG00000001617,ENSG00000001617,gene,100,K562
chr7,+,117120070,117120087,0.503712144073798,117120078.5,0.251856072036899,None,tss,ENSG00000001626,ENSG00000001626,gene,100,GM12878
chrX,-,117250740,117250792,4.94301657966401,117250766,2.471508289832,None,tss,ENSG00000003096,ENSG00000003096,gene,100,GM12878
chr2,-,188419155,188419195,124.56525833187,188419175,62.2826291659352,None,tss,ENSG00000003436,ENSG00000003436,gene,100,K562
chr3,-,129325504,129325567,8.39265415162431,129325535.5,4.19632707581215,None,tss,ENSG00000004399,ENSG00000004399,gene,100,K562
chr4,+,15779943,15779982,45.6487237852799,15779962.5,22.8243618926399,None,tss,ENSG00000004468,ENSG00000004468,gene,100,GM12878
chr4,+,110481374,110481458,29.3786017599065,110481416,14.6893008799532,None,tss,ENSG00000005059,ENSG00000005059,gene,100,GM12878
chr17,-,41739283,41739297,4.78136441009537,41739290,2.39068220504769,None,tss,ENSG00000005102,ENSG00000005102,gene,100,GM12878
chr16,+,20775312,20775352,47.0700914297378,20775332,23.5350457148689,None,tss,ENSG00000005187,ENSG00000005187,gene,100,K562
chr7,+,106685133,106685186,198.311387640224,106685159.5,99.1556938201118,None,tss,ENSG00000005249,ENSG00000005249,gene,100,K562
chrX,+,11786438,11786451,10.3554721872903,11786444.5,5.17773609364515,None,tss,ENSG00000005302,ENSG00000005302,gene,100,GM12878
chr7,+,86974974,86975000,3.85415910976139,86974987,1.92707955488069,None,tss,ENSG00000005469,ENSG00000005469,gene,100,GM12878
chr7,-,87105337,87105344,0.212883577307681,87105340.5,0.106441788653841,None,tss,ENSG00000005471,ENSG00000005471,gene,100,GM12878
chr16,+,30484054,30484084,18.0577532051852,30484069,9.02887660259262,None,tss,ENSG00000005844,ENSG00000005844,gene,100,GM12878
